"CT_ID_10","TotalPop","PopDen","SexRatio","AgeU18","Age1834","Age3564","AgeO65","ForBorn","White","Black","Asian","Hispanic","TwoOrMore","EthHet","MedHouseIncome","PubAssist","GINI","FamPovPer","UnempRate","TotalHouseH","FamHousePer","FemHeadPer","SameSexCoupPer","GrandHeadPer","LessThanHS","HSGrad","SomeColl","Bach","Master","Prof","Doc","CommuteLess10","Commute1030","Commute3060","Commute6090","CommuteOver90","ByAuto","ByPubTrans","ByBike","ByWalk","TotalHouseUnits","VacantUnitPer","RentersPer","HomeOwnPer","MedGrossRent","MedHomeVal","MedYrBuiltRaw","MedYrBuilt","MedYrMovedInraw","MedYrRentMovedIn","MedYrOwnMovedIn"
"25005645102",5841,519.173629275973,0.824742268041237,0.193631227529533,0.169320321862695,0.456942304399931,0.180106146207841,0.0667693888032871,0.978085944187639,0.00239684985447697,0,0.0116418421503167,0.00701934600239685,0.0432066084046968,72632,0.0341760299625468,0.3967,0.0358880778588808,0.0312984195847536,2136,0.769662921348315,0.0845498783454988,0,0.017639902676399,0.126865671641791,0.330923507462687,0.325559701492537,0.127098880597015,0.0631996268656716,0.0102611940298507,0.0160914179104478,0.0778795811518325,0.509162303664921,0.268324607329843,0.110602094240838,0.0340314136125654,0.976833976833977,0.00643500643500643,0,0,2212,0.0343580470162749,0.0772471910112359,0.922752808988764,855,265800,1972,"1970 to 1979",1995,2008,1994
"25005645103",5734,617.974757886657,1.06928906531938,0.200034879665155,0.1829438437391,0.394837809557028,0.222183467038716,0.113184513428671,0.988838507150331,0,0.00435995814440181,0,0.00680153470526683,0.0221793975416831,86042,0.0297872340425532,0.3278,0.0157430730478589,0.0296789824348879,2115,0.750827423167849,0.100125944584383,0,0.0232997481108312,0.135697940503433,0.296567505720824,0.349427917620137,0.129977116704805,0.0748283752860412,0.0100686498855835,0.0034324942791762,0.0819300518134715,0.516839378238342,0.347474093264249,0.0352979274611399,0.0184585492227979,0.963186290066645,0.0168200571247223,0,0,2253,0.0612516644474035,0.128132387706856,0.871867612293144,950,272200,1975,"1970 to 1979",1997,2006,1996
"25005646101",7529,606.198076124682,0.933487416538264,0.192854296719352,0.160446274405632,0.434054987382122,0.212644441492894,0.0944348519059636,0.97410014610174,0.00491433125249037,0.00345331385310134,0.00305485456235888,0.0144773542303095,0.0510834971999446,67841,0.0414261460101868,0.4145,0.0198067632850242,0.0571356018283393,2945,0.702886247877759,0.130434782608696,0.111111111111111,0.036231884057971,0.16274402481299,0.304688925378581,0.279146141215107,0.156175880313811,0.0762634555738004,0.00966976829045795,0.0113118044152527,0.0755796446853357,0.639566395663957,0.200843119542307,0.0514905149051491,0.032520325203252,0.943477019697402,0.00456751355980588,0,0,3083,0.0447615958481998,0.20339558573854,0.79660441426146,918,296300,1966,"1960 to 1969",2001,2011,1996
"25005646103",5488,282.322475535937,1.13790416828983,0.202077259475219,0.198250728862974,0.41381195335277,0.185860058309038,0.0694241982507289,0.983053935860058,0,0,0.0016399416909621,0.0153061224489796,0.0336022697812987,86591,0.0132352941176471,0.3741,0.0386740331491713,0.0641585488747061,2040,0.709803921568627,0.133977900552486,0,0.0407458563535912,0.0986358866736621,0.322140608604407,0.269412381951731,0.164480587618048,0.118310598111228,0.00734522560335782,0.0196747114375656,0.0946348733233979,0.555514157973174,0.262295081967213,0.0644560357675112,0.0230998509687034,0.974743777452416,0,0,0.00768667642752562,2204,0.0744101633393829,0.123039215686275,0.876960784313725,976,400400,1983,"1980 to 1989",2000,2011,1999
"25005646104",2736,152.187400731742,0.96976241900648,0.153143274853801,0.108187134502924,0.376827485380117,0.361842105263158,0.0197368421052632,0.984649122807018,0,0.00548245614035088,0,0.0087719298245614,0.0304360476300399,100100,0.00437828371278459,0.4125,0.0588957055214724,0.066045066045066,1142,0.713660245183888,0.0957055214723926,0,0.0098159509202454,0.0497262773722628,0.145985401459854,0.194343065693431,0.277828467153285,0.211678832116788,0.10492700729927,0.0155109489051095,0.0943396226415094,0.499550763701707,0.308176100628931,0.0395327942497754,0.0584007187780773,0.908936170212766,0.0382978723404255,0,0,1884,0.393842887473461,0.124343257443082,0.875656742556918,1432,492300,1969,"1960 to 1969",1999,2007,1998
"25005650101",5708,3020.63526895482,1.13462976813762,0.182375613174492,0.152943237561317,0.439383321653819,0.225297827610371,0.11124737210932,0.927995795374912,0.00735809390329362,0.0161177295024527,0.0169936930623686,0.0183952347582341,0.138221095412382,69626,0.061487130600572,0.3346,0.0339702760084926,0.0682446972025822,2098,0.67349857006673,0.183297947629158,0,0.0573248407643312,0.155216284987277,0.397409206569512,0.261161230626879,0.110340041637752,0.0606060606060606,0.012028683784409,0.00323849178811011,0.123334472155791,0.549709600273317,0.221387085753331,0.0382644345746498,0.0673044072429108,0.955995969096406,0.0208263352368156,0,0.00638226402418542,2185,0.0398169336384439,0.157769304099142,0.842230695900858,949,215100,1978,"1970 to 1979",1999,2009,1997
"25005650102",4986,2546.99581967916,1.09583858764187,0.267148014440433,0.23606097071801,0.339550742077818,0.157240272763738,0.166666666666667,0.699558764540714,0.0467308463698355,0.01544324107501,0.200962695547533,0.00782190132370638,0.467809264255197,50370,0.074540174249758,0.4064,0.157733537519142,0.0688487584650113,2066,0.632139399806389,0.312404287901991,0.0588235294117647,0.0260336906584992,0.250074783128926,0.313191743942567,0.25904875860006,0.109781633263536,0.0559377804367335,0.00747831289261143,0.00448698773556686,0.121768140116764,0.619266055045872,0.180567139282736,0.0688073394495413,0.00959132610508757,0.940957886044591,0.0156895127993394,0.00206440957886045,0.0222956234516928,2124,0.0273069679849341,0.374636979670862,0.625363020329138,824,205500,1982,"1980 to 1989",2005,2011,2000
"25005650201",3060,494.269507162399,1.21739130434783,0.161111111111111,0.217320261437909,0.459150326797386,0.162418300653595,0.0990196078431373,0.933333333333333,0.00457516339869281,0.0241830065359477,0.0127450980392157,0.0150326797385621,0.128120701439617,57568,0.0136655948553055,0.4246,0.016497461928934,0.0939809926082365,1244,0.633440514469453,0.224619289340102,0.0426829268292683,0,0.144230769230769,0.332604895104895,0.332604895104895,0.100524475524476,0.0563811188811189,0.020979020979021,0.0126748251748252,0.129894344313238,0.636420136730889,0.157240522063393,0.036047234307023,0.0403977625854568,0.970248937462052,0,0,0.00667880995749848,1332,0.0660660660660661,0.312700964630225,0.687299035369775,925,215500,1961,"1960 to 1969",2003,2008,2000
"25005650202",2242,3139.45843776965,1.07784986098239,0.235950044603033,0.202943800178412,0.354148082069581,0.206958073148974,0.129348795718109,0.899197145405888,0.0214094558429973,0,0.0584299732381802,0.00446030330062444,0.187572067121795,53139,0.0418041804180418,0.3812,0.0837520938023451,0.0992217898832685,909,0.656765676567657,0.227805695142379,0.0701754385964912,0.033500837520938,0.212726138490331,0.359950093574548,0.237055520898316,0.143480973175296,0.041796631316282,0,0.0049906425452277,0.0808080808080808,0.608305274971942,0.206509539842873,0.0538720538720539,0.0505050505050505,0.98,0.00333333333333333,0,0,962,0.0550935550935551,0.345434543454345,0.654565456545655,831,208500,1951,"1950 to 1959",2003,2010,1994
"25005650300",3323,7985.49049153071,1.09125235997483,0.170929882636172,0.252783629250677,0.410472464640385,0.165814023472766,0.18025880228709,0.7706891363226,0.00481492627144147,0,0.151068311766476,0.00120373156786037,0.383193436819352,48225,0.038233355306526,0.3935,0.127462340672074,0.0372507869884575,1517,0.568885959129862,0.289687137891078,0,0.0417149478563152,0.172047244094488,0.396062992125984,0.166929133858268,0.204330708661417,0.0452755905511811,0.0114173228346457,0.00393700787401575,0.105140186915888,0.602219626168224,0.220794392523364,0.0122663551401869,0.0595794392523364,0.934360730593607,0.023972602739726,0,0.0131278538812785,1567,0.0319081046585833,0.559657218193804,0.440342781806196,729,220000,1949,"1940 to 1949",2004,2009,1990
