X,Y,objectid,name,address,address2,municipal,state,zipcode,recordtype,data_year,source,market_id,ebt,coupons,latitude,longitude,prim_type,prim_naics,sqft_range,idx_weight
214784.744800001382828,933060.029899999499321,5512,D L S Foods Inc,11 Salem St, ,Lowell,MA,01854,Unverified,2016,ReferenceUSA,0, , ,42.647978,-71.319708,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
229345.623000003397465,833671.772100001573563,5513,D M B Snacks Inc,11 Swazey Rd, ,Somerset,MA,02726,Unverified,2016,ReferenceUSA,0, , ,41.752782,-71.147161,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
235374.925499998033047,893235.359900001436472,5514,D Market Enterprise Inc,658 Washington St, ,Dorchester Ctr,MA,02124,Verified,2016,ReferenceUSA,0, , ,42.288795,-71.071067,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
216096.802799999713898,933388.29619999975,5515,D' Classic Market,430 Bridge St, ,Lowell,MA,01850,Unverified,2016,ReferenceUSA,0, , ,42.650907,-71.303699,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
236163.444200001657009,903185.480399999767542,5516,D'Angeles Market,160 Bunker Hill St, ,Charlestown,MA,02129,Unverified,2016,ReferenceUSA,0, , ,42.378337,-71.060885,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
208764.906900003552437,872435.818900000303984,5517,Dacey's Market,345 Lincoln St, ,Franklin,MA,02038,Verified,2016,ReferenceUSA,0, , ,42.102287,-71.394035,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
221884.248000003397465,902783.696100000292063,5518,Dae Han Oriental Food,34 Elm St, ,Waltham,MA,02453,Unverified,2016,ReferenceUSA,0, , ,42.375251,-71.234284,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
226903.547700002789497,825947.154800001531839,5519,Daffon Snacks Corp,11 Day St # 2, ,Fall River,MA,02724,Unverified,2016,ReferenceUSA,0, , ,41.683321,-71.176875,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
160405.810099996626377,924147.971599999815226,5520,Daily Needs,56 Union Sq, ,Gardner,MA,01440,Unverified,2016,ReferenceUSA,0, , ,42.566883,-71.982211,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
217861.358800001442432,853896.852600000798702,5521,Dairy Carousel,220 S Main St, ,Attleboro,MA,02703,Verified,2016,ReferenceUSA,0, , ,41.935221,-71.284628,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
224376.456000000238419,883174.590300001204014,5522,Dairy Fine,201 Fulton St, ,Norwood,MA,02062,Verified,2016,ReferenceUSA,0, , ,42.198639,-71.204848,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
102942.731299996376038,898476.736000001430511,5523,Dairy Mart,198 Pine St, ,Florence,MA,01062,Unverified,2016,ReferenceUSA,0, , ,42.330751,-72.677665,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
233647.651900000870228,908108.778200000524521,5524,Dairy Mart,267 Spring St, ,Medford,MA,02155,Verified,2016,ReferenceUSA,0, , ,42.422772,-71.091146,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
241740.846900001168251,888947.818,5525,Dairy Mart,215 Washington St, ,Quincy,MA,02169,Unverified,2016,ReferenceUSA,0, , ,42.249881,-70.994188,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
106512.377499997615814,870364.074499998241663,5526,Dairy Store,335 Suffield St, ,Agawam,MA,01001,Verified,2016,ReferenceUSA,0, , ,42.078109,-72.629839,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
217081.25,935089.691799998283386,5527,Dakota Food Corp,78 Lillian Ter, ,Dracut,MA,01826,Unverified,2016,ReferenceUSA,0, , ,42.666202,-71.291643,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
215414.964000001549721,934095.820900000631809,5528,Dalphond Food Svc,1 Lilley Ave, ,Lowell,MA,01850,Verified,2016,ReferenceUSA,0, , ,42.65729,-71.311995,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
63790.711499996483326,915637.357700001448393,5529,Dalton General Store Inc,200 North St # 101, ,Dalton,MA,01226,Verified,2016,ReferenceUSA,0, , ,42.479366,-73.156666,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
238121.927000001072884,904635.3092,5530,Dan Ha Market,310 Broadway, ,Chelsea,MA,02150,Verified,2016,ReferenceUSA,0, , ,42.391296,-71.037009,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
248101.886799998581409,888485.347500000149012,5531,Dari Mart Stores Inc,1 Talbots Dr, ,Hingham,MA,02043,Unverified,2016,ReferenceUSA,0, , ,42.245352,-70.917146,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
59025.209299996495247,913358.962000001221895,5532,Dari Mart Stores Inc,100 Plastics Ave, ,Pittsfield,MA,01201,Unverified,2016,ReferenceUSA,0, , ,42.458011,-73.214055,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
234125.022200003266335,903459.421,5533,Das International Indian Food,102 Washington St, ,Somerville,MA,02143,Unverified,2016,ReferenceUSA,0, , ,42.380895,-71.08562,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
235098.280699998140335,897156.542899999767542,5534,Davey's Super Market,438 Dudley St, ,Roxbury,MA,02119,Verified,2016,ReferenceUSA,0, , ,42.324109,-71.074184,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
228403.861599996685982,938560.562899999320507,5535,Dawyn Grocery,176 S Union St, ,Lawrence,MA,01843,Unverified,2016,ReferenceUSA,0, , ,42.697115,-71.153359,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
239750.593199998140335,870886.9221,5536,Day & Night Market,94 N Main St, ,Brockton,MA,02301,Verified,2016,ReferenceUSA,0, , ,42.087383,-71.019538,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
224736.497000001370907,901206.749400001019239,5537,De Pasquale's Market,325 Watertown St, ,Newton,MA,02458,Verified,2016,ReferenceUSA,0, , ,42.360969,-71.19972,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
173468.573399998247623,888711.442800000309944,5538,Dean Grocery Store,34 Gates St, ,Worcester,MA,01610,Unverified,2016,ReferenceUSA,0, , ,42.248417,-71.821497,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
229925.458099998533726,942627.650699999183416,5539,Deccan Groceries,171 Merrimack St, ,Methuen,MA,01844,Unverified,2016,ReferenceUSA,0, , ,42.733669,-71.134577,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
116429.892200000584126,875480.277399998158216,5540,Dee's Food Mart,760 Boston Rd, ,Springfield,MA,01119,Unverified,2016,ReferenceUSA,0, , ,42.125288,-72.510726,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
244072.833400003612041,912616.735399998724461,5541,Del Pueblo Market,23 Market Sq # 1, ,Lynn,MA,01905,Verified,2016,ReferenceUSA,0, , ,42.462835,-70.964128,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
230919.076700001955032,892727.517000000923872,5542,Delarosa LLC,85 Cummins Hwy, ,Roslindale,MA,02131,Unverified,2016,ReferenceUSA,0, , ,42.284412,-71.125122,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
224978.149499997496605,929516.272199999541044,5543,Delhaize America Inc,875 East St, ,Tewksbury,MA,01876,Unverified,2016,ReferenceUSA,0, , ,42.615816,-71.19556,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
230505.848700001835823,828196.307199999690056,5544,Deli Grocery,385 Eddy St, ,Fall River,MA,02723,Unverified,2016,ReferenceUSA,0, , ,41.70344,-71.133494,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
238568.745099999010563,902873.147300001233816,5545,Delicious Market,6 Brooks St, ,Boston,MA,02128,Unverified,2016,ReferenceUSA,0, , ,42.37541,-71.0317,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
237954.700199998915195,903232.252999998629093,5546,Delis Food Market,353 Meridian St, ,Boston,MA,02128,Unverified,2016,ReferenceUSA,0, , ,42.378673,-71.039132,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
226606.122699998319149,940376.889299999923,5547,Delosangeles Market,433 Broadway, ,Lawrence,MA,01841,Unverified,2016,ReferenceUSA,0, , ,42.713529,-71.175214,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
235489.455399997532368,900784.749400001019239,5548,Deluca's Market,17 Branch St, ,Boston,MA,02108,Unverified,2016,ReferenceUSA,0, , ,42.356755,-71.069216,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
231402.48480000346899,946962.322999998927116,5549,Demoula's Super Markets Inc,400 Lowell Ave # 1, ,Haverhill,MA,01832,Unverified,2016,ReferenceUSA,0, , ,42.77263,-71.116303,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
214701.118699997663498,932660.945599999278784,5550,Demoulas Super Markets Inc,331 Fletcher St, ,Lowell,MA,01854,Unverified,2016,ReferenceUSA,0, , ,42.644387,-71.320738,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
222754.306100003421307,927990.939399998635054,5551,Demoulas Super Markets Inc,Manor Courtyard, ,Tewksbury,MA,01876,Unverified,2016,ReferenceUSA,0, , ,42.602153,-71.222725,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
247334.227200001478195,822485.92399999872,5552,Denzels Inc,190 Weld St, ,New Bedford,MA,02740,Unverified,2016,ReferenceUSA,0, , ,41.651197,-70.931775,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
282057.796300001442432,793943.635000001639128,5553,Depot Market,141 Upper Main St, ,Edgartown,MA,02539,Unverified,2016,ReferenceUSA,0, , ,41.391387,-70.518905,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
185598.476800002157688,892123.60190000012517,5554,Desi Market,1000 Boston Tpke, ,Shrewsbury,MA,01545,Unverified,2016,ReferenceUSA,0, , ,42.279454,-71.674597,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
228694.308499999344349,914636.845100000500679,5555,Desi Market,470 Main St, ,Woburn,MA,01801,Unverified,2016,ReferenceUSA,0, , ,42.481739,-71.151009,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
179610.998599998652935,919458.028900001198053,5556,Desilets Market,172 Spruce St, ,Leominster,MA,01453,Verified,2016,ReferenceUSA,0, , ,42.525403,-71.74815,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
234566.089500002563,906005.729600001126528,5557,Dessert Drop Inc,50 Station Lndg # 412, ,Medford,MA,02155,Unverified,2016,ReferenceUSA,0, , ,42.403799,-71.080112,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
